154.5,125.5
154.5,127.5
154.5,128.5
154.5,130
154.5,133.5
154.5,136.5
154.5,137.5
154.5,139.5
154.5,153.5
154.5,154
154.5,154.5
154.5,155
154.5,155.5
154.5,162.5
154.5,169.5
154.5,172
154.5,174
155,125.5
155,126.5
155,127.5
155,128.5
155,129
155,130
155,131.5
155,132
155,134.5
155,135.5
155,136.5
155,137.5
155,151
155,151.5
155,153.5
155,155
155,163
155,166
155,168.5
155,169.5
155,171.5
155,172.5
155,173.5
155.5,126.5
155.5,127
155.5,127.5
155.5,131.5
155.5,132
155.5,132.5
155.5,134
155.5,134.5
155.5,137
155.5,137.5
155.5,138
155.5,152
155.5,168.5
155.5,169.5
155.5,171
155.5,172
155.5,173.5
156,127
156,129.5
156,130
156,131
156,131.5
156,132.5
156,133.5
156,134
156,136.5
156,137
156,137.5
156,139
156,152.5
156,155.5
156,156.5
156,157.5
156,168.5
156,169
156.5,127
156.5,128
156.5,129.5
156.5,130
156.5,131
156.5,132.5
156.5,133
156.5,133.5
156.5,134.5
156.5,135
156.5,135.5
156.5,136
156.5,136.5
156.5,137.5
156.5,142
156.5,155
156.5,156
156.5,157
156.5,157.5
156.5,158
156.5,165
156.5,168
156.5,168.5
156.5,173
157,129.5
157,130
157,130.5
157,131
157,133
157,133.5
157,134.5
157,135
157,135.5
157,137.5
157,142
157,142.5
157,146
157,151
157,154.5
157,155
157,155.5
157,156
157,156.5
157,157
157,158
157,158.5
157,159
157,167
157,168
157,169
157,171.5
157,173
157,173.5
157.5,126
157.5,126.5
157.5,129
157.5,130
157.5,131
157.5,132.5
157.5,133
157.5,133.5
157.5,137
157.5,142.5
157.5,145.5
157.5,146
157.5,146.5
157.5,156.5
157.5,164.5
157.5,166.5
157.5,167.5
157.5,168
157.5,171
157.5,171.5
158,127
158,133
158,133.5
158,137
158,138
158,145.5
158,146
158,146.5
158,156.5
158,157
158,158
158,158.5
158,159
158,164
158,164.5
158,167.5
158,173
158.5,127
158.5,129
158.5,133
158.5,133.5
158.5,146
158.5,159
158.5,160.5
158.5,161.5
158.5,162
158.5,164
158.5,171
159,127
159,128
159,133.5
159,157
159,159
159,159.5
159,160
159,161.5
159,162
159,165.5
159,170
159.5,127
159.5,127.5
159.5,133.5
159.5,134
159.5,159.5
159.5,172
160,127.5
160,134
160,134.5
160,157.5
160,158
160,159.5
160,166
160,172
160.5,159.5
160.5,160
160.5,161.5
161,133.5
161,141
161,146
161,157.5
161,160.5
161,163.5
161,165.5
161,168
161,168.5
161,169
161.5,135
161.5,160
161.5,161
161.5,161.5
161.5,165
161.5,168
161.5,168.5
161.5,169.5
162,128
162,158
162,159.5
162,160
162,160.5
162,161
162,164.5
162,168
162.5,142.5
162.5,159
162.5,159.5
162.5,160
162.5,161
162.5,161.5
162.5,163.5
162.5,164
162.5,167.5
163,159
163,161
163,167.5
163,170.5
163.5,130
163.5,160.5
163.5,165.5
163.5,166
163.5,167
163.5,170
164,129.5
164,136
164,157
164,157.5
164,160
164,160.5
164,164
164,164.5
164,165.5
164,167
164,169.5
164.5,136.5
164.5,158
164.5,158.5
164.5,159.5
164.5,161.5
164.5,163.5
164.5,164
164.5,166.5
164.5,168
164.5,169
164.5,169.5
165,131.5
165,137
165,156.5
165,157
165,157.5
165,158.5
165,159.5
165,160
165,160.5
165,161.5
165,162
165,163
165,163.5
165,166.5
165,167
165,167.5
165,170.5
165.5,137.5
165.5,154.5
165.5,155
165.5,155.5
165.5,156.5
165.5,157
165.5,159
165.5,159.5
165.5,160
165.5,161
165.5,161.5
165.5,162
165.5,162.5
165.5,163
165.5,166
